! NanoVNA-App
! Date: 2024-03-18 17:46:33
! Start: 2GHz Stop: 3.2GHz Points: 65535
! S-Parameter data: F S11
# Hz S RI R 50
!     Frequency           S11_Real           S11_Imag0.002	0.331
0.835	0.644
0.847	0.605
0.859	0.092
0.979	0.291
0.405	0.481
0.390	0.565
0.518	0.411
0.239	0.704
0.883	0.908
0.825	0.397
0.093	0.968
0.903	0.489
0.799	0.832
0.588	0.210
0.895	0.847
0.969	0.880
0.488	0.472
0.604	0.053
0.976	0.191
0.534	0.398
0.094	0.861
0.356	0.002
0.337	0.581
0.242	0.398
0.850	0.111
0.099	0.139
0.252	0.128
0.020	0.385
0.543	0.287
0.975	0.658
0.060	0.486
0.943	0.373
0.068	0.057
0.051	0.183
0.969	0.390
0.960	0.933
0.945	0.860
0.153	0.715
0.729	0.056
0.103	0.748
0.415	0.530
0.053	0.306
0.874	0.561
0.990	0.474
0.050	0.912
0.380	0.498
0.855	0.572
0.988	0.228
0.106	0.201
0.665	0.854
0.959	0.726
0.003	0.322
0.756	0.799
0.795	0.529
0.307	0.625
0.767	0.878
0.291	0.199
0.067	0.371
0.576	0.821
0.814	0.641
0.099	0.797
0.552	0.508
0.799	0.604
0.053	0.162
0.196	0.413
0.529	0.457
0.878	0.778
0.431	0.477
0.718	0.537
0.630	0.394
0.361	0.660
0.650	0.101
0.108	0.658
0.337	0.135
0.031	0.972
0.253	0.538
0.216	0.208
0.868	0.871
0.911	0.407
0.379	0.436
0.452	0.287
0.793	0.776
0.049	0.692
0.745	0.569
0.273	0.786
0.581	0.591
0.638	0.336
0.885	0.558
0.630	0.690
0.582	0.232
0.817	0.391
0.282	0.727
0.665	0.873
0.077	0.476
0.238	0.486
0.394	0.934
0.881	0.686
0.754	0.232
0.511	0.633
0.082	0.310
0.789	0.101
0.817	0.137
0.654	0.521
0.300	0.090
0.381	0.110
0.177	0.285
0.346	0.704
0.717	0.510
0.448	0.338
0.179	0.112
0.170	0.491
0.642	0.687
0.605	0.224
0.456	0.311
0.093	0.558
0.391	0.606
0.144	0.988
0.008	0.577
0.907	0.305
0.828	0.829
0.345	0.066
0.835	0.824
0.212	0.313
0.739	0.576
0.566	0.378
0.269	0.098
0.281	0.530
0.336	0.917
0.025	0.933
0.499	0.887
0.003	0.920
0.351	0.788
0.675	0.195
0.266	0.206
0.752	0.994
0.829	0.669
0.610	0.709
0.546	0.583
0.981	0.508
0.525	0.895
0.970	0.490
0.592	0.243
0.813	0.531
0.733	0.576
0.986	0.630
0.346	0.026
0.062	0.814
0.965	0.689
0.503	0.880
0.945	0.688
0.954	0.674
0.424	0.020
0.160	0.811
0.774	0.056
0.327	0.228
0.665	0.726
0.996	0.806
0.535	0.851
0.420	0.878
0.541	0.077
0.999	0.711
0.422	0.938
0.428	0.626
0.371	0.012
0.671	0.142
0.485	0.998
0.303	0.899
0.557	0.301
0.793	0.210
0.889	0.004
0.731	0.871
0.239	0.620
0.549	0.518
0.421	0.779
0.101	0.781
0.586	0.308
0.092	0.764
0.216	0.422
0.612	0.786
0.664	0.105
0.189	0.247
0.550	0.023
0.105	0.789
0.079	0.708
0.690	0.599
0.990	0.661
0.958	0.345
0.235	0.094
0.404	0.580
0.727	0.138
0.509	0.880
0.066	0.771
0.821	0.686
0.347	0.590
0.640	0.956
0.750	0.471
0.822	0.878
0.647	0.862
0.464	0.800
0.763	0.353
0.498	0.975
0.615	0.489
0.969	0.304
0.745	0.999
0.227	0.662
0.277	0.324
0.275	0.395
0.066	0.324
0.717	0.812
0.084	0.346
0.314	0.223
0.945	0.136
0.076	0.513
0.554	0.884
0.378	0.115
0.895	0.305
0.270	0.289
0.231	0.396
0.156	0.783
0.610	0.287
0.413	0.364
0.781	0.790
0.733	0.180
0.103	0.740
0.645	0.249
0.210	0.141
0.098	0.826
0.753	0.552
0.932	0.816
0.393	0.416
0.155	0.200
0.463	0.399
0.597	0.004
0.586	0.583
0.224	0.406
0.577	0.494
0.019	0.132
0.461	0.076
0.415	0.382
0.532	0.532
0.314	0.404
0.049	0.817
0.430	0.622
0.008	0.741
0.563	0.341
0.411	0.002
0.798	0.467
0.060	0.083
0.835	0.901
0.319	0.801
0.436	0.793
0.294	0.214
0.424	0.368
0.470	0.345
0.016	0.779
0.175	0.527
0.489	0.216
0.728	0.971
0.314	0.549
0.608	0.736
0.345	0.063
0.953	0.453
0.193	0.948
0.174	0.637
0.648	0.286
0.598	0.327
0.827	0.450
0.916	0.976
0.726	0.099
0.528	0.520
0.102	0.350
0.089	0.725
0.632	0.986
0.428	0.064
0.529	0.235
0.355	0.124
0.993	0.883
0.110	0.354
0.203	0.542
0.777	0.678
0.200	0.938
0.073	0.016
0.172	0.919
0.503	0.847
0.617	0.910
0.738	0.340
0.158	0.235
0.293	0.194
0.941	0.046
0.711	0.397
0.355	0.142
